"","subject","rt","correct","condition"
"344",1,0.4984,2,3
"345",1,0.6866,2,1
"346",1,0.5258,2,1
"347",1,0.4929,2,1
"348",1,0.4555,1,1
"349",1,0.6289,1,3
"350",1,0.4632,2,2
"351",1,0.5156,2,2
"352",1,0.7106,2,1
"353",1,0.499,2,3
"354",1,0.5708,2,3
"355",1,0.474,2,1
"356",1,0.4638,2,1
"357",1,0.4746,2,3
"358",1,0.4371,2,3
"359",1,0.5902,2,2
"360",1,0.4809,2,3
"361",1,0.5002,2,3
"362",1,0.5775,2,3
"363",1,0.3824,1,2
"364",1,0.4268,2,1
"365",1,0.4643,1,3
"366",1,0.4541,2,3
"367",1,0.485,1,2
"368",1,0.5349,2,2
"369",1,0.3091,2,3
"370",1,0.301,1,3
"371",1,0.3443,2,2
"372",1,0.3693,2,1
"373",1,0.4743,2,1
"374",1,0.3053,2,1
"375",1,0.3467,1,2
"376",1,0.3113,2,2
"377",1,0.4046,2,3
"378",1,0.4999,1,3
"379",1,0.5724,2,1
"380",1,0.3045,1,2
"381",1,0.5084,2,2
"382",1,0.5888,1,1
"383",1,0.4841,2,3
"384",1,0.3697,2,1
"385",1,0.9912,2,1
"386",1,0.522,2,1
"387",1,0.472,2,2
"388",1,0.3791,2,2
"389",1,0.5724,2,2
"390",1,0.5767,2,2
"391",1,0.4022,2,2
"392",1,0.6029,2,2
"393",1,0.5423,1,1
"394",1,0.4947,2,3
"395",1,0.5496,2,1
"396",1,0.5482,2,2
"397",1,0.4215,2,1
"398",1,0.4514,2,1
"399",1,0.3769,2,2
"400",1,0.4593,1,3
"401",1,0.4322,2,2
"402",1,0.5575,2,1
"403",1,0.5047,2,1
"404",1,0.572,2,1
"405",1,0.5522,1,2
"406",1,0.4058,1,1
"407",1,0.4881,2,2
"408",1,0.3836,2,2
"409",1,0.4176,2,3
"410",1,0.5459,1,2
"411",1,0.4428,2,1
"412",1,0.4054,2,1
"413",1,0.4755,2,3
"414",1,0.4716,2,3
"415",1,0.6224,2,2
"416",1,0.451,2,3
"417",1,0.5376,2,2
"418",1,0.5971,2,3
"419",1,0.7023,2,2
"420",1,0.4679,1,2
"421",1,0.6829,1,2
"422",1,0.6998,2,1
"423",1,0.5494,2,2
"424",1,0.4187,2,2
"425",1,0.4227,1,1
"426",1,0.5228,2,2
"427",1,0.5912,2,2
"428",1,0.4216,2,2
"429",1,0.5025,2,1
"430",1,0.4498,2,1
"431",1,0.5198,2,3
"432",1,0.4057,2,1
"433",1,0.4566,2,3
"434",1,0.6181,1,2
"435",1,0.4917,1,2
"436",1,0.5861,2,1
"437",1,0.8328,2,2
"438",1,0.6707,2,3
"439",1,0.5711,2,3
"440",1,0.4784,2,2
"441",1,0.7311,2,2
"442",1,0.5818,2,1
"443",1,0.6683,2,3
"444",1,0.4194,2,1
"445",1,0.7011,2,1
"446",1,0.5871,2,1
"447",1,0.5701,2,2
"448",1,0.3587,1,2
"449",1,0.3526,2,3
"450",1,0.2969,2,3
"451",1,0.3871,2,1
"452",1,0.3434,1,3
"453",1,0.5736,1,2
"454",1,0.3981,2,1
"455",1,0.3372,2,1
"456",1,0.535,2,1
"457",1,0.4565,2,3
"458",1,0.3762,2,2
"459",1,0.388,1,2
"460",1,0.4163,1,1
"461",1,0.6115,1,2
"462",1,0.4045,2,3
"463",1,0.516,2,2
"464",1,0.6016,2,1
"465",1,0.4659,2,2
"466",1,0.4315,2,3
"467",1,1.1555,2,2
"468",1,0.3953,2,1
"469",1,0.4535,1,2
"470",1,0.644,2,1
"471",1,0.4852,2,3
"472",1,0.3381,2,2
"473",1,0.4528,1,1
"474",1,0.5129,2,2
"475",1,0.581,2,3
"476",1,0.4424,2,1
"477",1,0.5013,2,2
"478",1,0.3494,2,3
"479",1,0.3663,2,3
"480",1,0.6872,2,1
"481",1,0.3457,2,3
"482",1,0.3136,1,3
"483",1,0.294,2,3
"484",1,0.2633,2,2
"485",1,0.2793,2,1
"486",1,0.3105,1,2
"487",1,0.3158,2,2
"488",1,0.3589,1,1
"489",1,0.2796,2,3
"490",1,0.2578,2,3
"491",1,0.3007,1,2
"492",1,0.5909,2,2
"493",1,0.4864,2,2
"494",1,0.4821,2,1
"495",1,0.4931,2,2
"496",1,0.383,2,1
"497",1,0.3154,1,3
"498",1,0.3949,2,3
"499",1,0.4983,2,2
"500",1,0.6683,2,1
"501",1,0.6242,2,3
"502",1,0.2692,1,3
"503",1,0.3091,2,1
"504",1,0.449,1,1
"505",1,0.3353,1,2
"506",1,0.466,2,1
"507",1,0.4097,2,1
"508",1,0.3959,1,2
"509",1,0.4376,2,1
"510",1,0.4254,1,3
"511",1,0.4713,1,2
"512",1,0.5533,2,2
"513",1,0.5079,2,1
"514",1,0.4729,2,3
"515",1,0.5634,1,3
"516",1,0.373,2,1
"517",1,0.5239,2,1
"518",1,0.3659,1,2
"519",1,0.4424,2,3
"520",1,0.3462,2,1
"521",1,0.4674,2,2
"522",1,0.404,2,2
"523",1,0.4814,2,3
"524",1,0.3433,2,2
"525",1,0.369,1,2
"526",1,0.4215,2,1
"527",1,0.4745,1,2
"528",1,0.4393,1,1
"529",1,0.3641,2,1
"530",1,0.5782,2,1
"531",1,0.5016,2,2
"532",1,0.4742,2,1
"533",1,0.7236,2,1
"534",1,0.4133,2,1
"535",1,0.6011,2,2
"536",1,0.4981,1,2
"537",1,0.6303,2,3
"538",1,0.45,2,1
"539",1,0.3239,1,1
"540",1,0.7392,1,3
"541",1,0.3461,2,1
"542",1,0.6793,2,2
"543",1,0.4375,2,2
"544",1,0.4319,1,1
"545",1,0.3065,1,3
"546",1,0.433,1,2
"547",1,0.4324,2,2
"548",1,0.4719,2,2
"549",1,0.4404,2,2
"550",1,0.6317,2,1
"551",1,0.3505,2,2
"552",1,0.4133,2,1
"553",1,0.4387,2,2
"554",1,0.4832,2,3
"555",1,0.4816,2,1
"556",1,0.4933,2,3
"557",1,0.6091,1,1
"558",1,0.4465,2,1
"559",1,0.3335,1,3
"560",1,0.5856,1,3
"561",1,0.5166,2,3
"562",1,0.5371,2,3
"563",1,0.4332,2,3
"564",1,0.6427,2,2
"565",1,0.4395,2,2
"566",1,0.4116,2,1
"567",1,0.4436,2,3
"568",1,0.3622,2,1
"569",1,0.3952,2,2
"570",1,0.3421,2,3
"571",1,0.4238,1,1
"572",1,0.4332,2,3
"573",1,0.5474,2,1
"574",1,0.2985,1,3
"575",1,0.529,2,1
"576",1,0.5264,2,2
"577",1,0.3902,2,3
"578",1,0.5512,2,2
"579",1,0.4517,2,3
"580",1,0.4979,1,2
"581",1,0.6357,2,2
"582",1,0.4499,2,1
"583",1,0.4675,2,2
"584",1,0.4413,2,1
"585",1,0.3713,2,2
"586",1,0.4428,2,2
"587",1,0.4675,2,2
"588",1,0.415,1,1
"589",1,0.4393,2,1
"590",1,0.5997,2,3
"591",1,0.5253,2,3
"592",1,0.4903,2,3
"593",1,0.3937,2,2
"594",1,0.4023,1,1
"595",1,0.4308,2,2
"596",1,0.2614,1,3
"597",1,0.3829,2,2
"598",1,0.4673,1,2
"599",1,0.4981,2,1
"600",1,0.318,2,1
"601",1,0.31,1,3
"602",1,0.2761,1,1
"603",1,0.4339,2,1
"604",1,0.4555,2,3
"605",1,0.4691,2,1
"606",1,0.4126,1,2
"607",1,0.6631,2,1
"608",1,0.4294,2,1
"609",1,0.4148,2,1
"610",1,0.4885,2,2
"611",1,0.4429,1,3
"612",1,0.3264,2,2
"613",1,0.4103,2,2
"614",1,0.4214,2,2
"615",1,0.3505,2,1
"616",1,0.4707,1,3
"617",1,0.4721,1,2
"618",1,0.5933,2,1
"619",1,0.4593,2,2
"620",1,0.5477,2,3
"621",1,0.3336,1,2
"622",1,0.5216,2,3
"623",1,0.4536,2,1
"624",1,0.7077,2,2
"625",1,0.5944,2,3
"626",1,0.6098,2,1
"627",1,0.4589,1,2
"628",1,0.4856,2,2
"629",1,0.4119,2,2
"630",1,0.4938,1,2
"631",1,0.4777,2,2
"632",1,0.3548,1,3
"633",1,0.4324,2,1
"634",1,0.4175,2,2
"635",1,0.4766,2,3
"636",1,0.4652,1,3
"637",1,0.3244,1,1
"638",1,0.4605,1,3
"639",1,0.4801,2,1
"640",1,0.4968,2,1
"641",1,0.4978,2,2
"642",1,0.3863,2,1
"643",1,0.4643,2,3
"644",1,0.4068,1,1
"645",1,0.598,1,3
"646",1,0.4342,1,3
"647",1,0.359,2,2
"648",1,0.4476,2,1
"649",1,0.441,1,2
"650",1,0.375,2,3
"651",1,0.2923,2,3
"652",1,0.4312,1,3
"653",1,0.294,2,2
"654",1,0.4659,2,3
"655",1,0.3589,2,3
"656",1,0.4166,1,1
"657",1,0.7456,1,1
"658",1,0.3937,2,1
"659",1,0.6439,1,3
"660",1,0.4445,1,1
"661",1,0.4728,2,1
"662",1,0.4326,2,3
"663",1,0.329,1,3
"664",1,0.4901,2,2
"665",1,0.6269,2,3
"666",1,0.7798,2,1
"667",1,0.5139,2,1
"668",1,0.5085,2,3
"669",1,0.4865,1,2
"670",1,0.4748,2,3
"671",1,0.4968,1,1
"672",1,0.5038,2,1
"673",1,0.3446,2,3
"674",1,0.6189,1,1
"675",1,0.4534,2,2
"676",1,0.47,1,2
"677",1,0.7471,2,3
"678",1,0.6604,2,2
"679",1,0.2771,2,2
"680",1,0.3307,2,3
"681",1,0.3643,1,3
"682",1,0.3445,1,2
"683",1,0.5619,1,3
"684",1,0.4711,2,1
"685",1,0.4035,2,2
"686",1,0.5441,2,2
"687",1,0.5151,2,1
"688",1,0.7922,2,1
"689",1,0.445,2,2
"690",1,0.5747,1,2
"691",1,0.4916,2,1
"692",1,0.4083,2,3
"693",1,0.4026,2,2
"694",1,0.4343,2,3
"695",1,0.4974,2,3
"696",1,0.4934,2,2
"697",1,0.4699,1,1
"698",1,0.5271,1,3
"699",1,0.5407,2,2
"700",1,0.6062,2,1
"701",1,0.5616,2,3
"702",1,0.4861,2,1
"703",1,0.3018,2,3
"704",1,0.5459,1,1
"705",1,0.322,1,1
"706",1,0.3241,2,1
"707",1,0.4758,2,3
"708",1,0.6005,2,3
"709",1,0.7259,2,2
"710",1,0.628,2,2
"711",1,0.3681,2,1
"712",1,0.5125,1,3
"713",1,0.5574,1,1
"714",1,0.3383,1,3
"715",1,0.3469,1,3
"716",1,0.5374,2,2
"717",1,0.45,2,1
"718",1,0.4167,2,2
"719",1,0.5426,2,3
"720",1,0.5943,2,1
"721",1,0.4327,2,3
"722",1,0.3649,2,3
"723",1,0.4039,2,2
"724",1,0.5624,2,2
"725",1,0.5103,2,1
"726",1,0.7979,2,3
"727",1,0.4657,2,1
"728",1,0.5042,2,2
"729",1,0.6355,2,1
"730",1,0.5223,2,1
"731",1,0.828,2,1
"732",1,0.5695,2,2
"733",1,0.5856,2,2
"734",1,0.7599,2,1
"735",1,0.6885,2,2
"736",1,0.5495,2,3
"737",1,0.6027,2,3
"738",1,0.4856,2,3
"739",1,0.464,2,1
"740",1,0.4544,2,3
"741",1,0.4741,1,1
"742",1,0.6497,2,1
"743",1,0.5546,1,2
"744",1,0.5257,2,2
"745",1,0.3688,1,2
"746",1,0.4666,2,2
"747",1,0.5736,2,1
"748",1,0.4697,2,1
"749",1,0.5503,2,1
"750",1,0.4341,2,2
"751",1,0.5183,2,1
"752",1,0.4844,2,1
"753",1,0.4545,2,2
"754",1,0.4132,2,2
"755",1,0.551,2,3
"756",1,0.5294,2,1
"757",1,0.3933,2,3
"758",1,0.4128,2,3
"759",1,0.6753,2,1
"760",1,0.376,1,3
"761",1,0.4447,2,2
"762",1,0.3428,1,2
"763",1,0.6472,2,1
"764",1,0.4005,2,1
"765",1,0.3786,2,3
"766",1,0.3038,2,3
"767",1,0.446,1,1
"768",1,0.3256,2,3
"769",1,0.4634,2,2
"770",1,0.4357,1,2
"771",1,0.4357,2,1
"772",1,0.4166,2,1
"773",1,0.5086,2,1
"774",1,0.513,2,2
"775",1,0.4108,2,2
"776",1,0.5413,2,3
"777",1,0.478,1,3
"778",1,0.6293,2,1
"779",1,0.5093,2,1
"780",1,0.5967,2,2
"781",1,0.5245,2,3
"782",1,0.6227,2,3
"783",1,0.377,1,3
"784",1,0.4111,2,3
"785",1,0.3416,1,2
"786",1,0.3155,2,3
"787",1,0.4167,2,2
"788",1,0.6447,1,1
"789",1,0.4244,2,1
"790",1,0.4956,2,3
"791",1,0.5715,1,2
"792",1,0.6243,2,3
"793",1,0.4567,1,2
"794",1,0.7021,1,2
"795",1,0.5079,2,1
"796",1,0.3801,2,1
"797",1,0.4703,1,1
"798",1,0.4449,1,2
"799",1,0.3485,1,1
"800",1,0.3878,2,3
"801",1,0.3522,1,2
"802",1,0.6256,2,1
"803",1,0.5258,1,3
"804",1,0.56,2,2
"805",1,0.3896,2,3
"806",1,0.4246,1,2
"807",1,0.5341,2,3
"808",1,0.419,2,1
"809",1,0.6266,2,2
"810",1,0.6752,2,2
"811",2,0.324,2,3
"812",2,0.3974,2,2
"813",2,0.4014,2,2
"814",2,0.4131,2,2
"815",2,0.3381,2,2
"816",2,0.3778,2,2
"817",2,0.473,2,2
"818",2,0.365,1,3
"819",2,0.4257,2,1
"820",2,0.3242,2,3
"821",2,0.3802,2,3
"822",2,0.5582,2,1
"823",2,0.4586,1,1
"824",2,0.3686,2,1
"825",2,0.4154,2,1
"826",2,0.3763,2,3
"827",2,0.4514,2,2
"828",2,0.501,2,1
"829",2,0.4245,2,1
"830",2,0.5131,2,2
"831",2,0.4263,2,3
"832",2,0.5761,2,1
"833",2,0.4764,1,1
"834",2,0.5914,2,3
"835",2,0.4226,2,1
"836",2,0.4036,2,3
"837",2,0.3927,2,2
"838",2,0.4207,2,1
"839",2,0.5368,1,1
"840",2,0.3954,2,2
"841",2,0.3774,2,3
"842",2,0.3709,2,2
"843",2,0.3778,2,3
"844",2,0.4067,2,3
"845",2,0.3377,2,3
"846",2,0.38,1,3
"847",2,0.3983,2,3
"848",2,0.3689,1,2
"849",2,0.5775,2,3
"850",2,0.4605,2,2
"851",2,0.3824,2,2
"852",2,0.3442,2,1
"853",2,0.5086,2,1
"854",2,0.4559,2,1
"855",2,0.4064,2,1
"856",2,0.5741,2,3
"857",2,0.3116,2,3
"858",2,0.4492,2,1
"859",2,0.451,2,2
"860",2,0.3521,2,2
"861",2,0.4005,2,2
"862",2,0.3507,2,2
"863",2,0.3803,2,3
"864",2,0.3556,2,2
"865",2,0.4361,2,2
"866",2,0.3899,2,3
"867",2,0.4283,1,2
"868",2,0.4307,2,3
"869",2,0.4009,2,2
"870",2,0.4582,2,1
"871",2,0.4672,2,1
"872",2,0.4215,2,1
"873",2,0.4938,2,1
"874",2,0.4024,2,3
"875",2,0.5468,2,2
"876",2,0.3988,2,1
"877",2,0.519,2,1
"878",2,0.6068,2,3
"879",2,0.4194,2,3
"880",2,0.6817,1,2
"881",2,0.3862,2,1
"882",2,0.5306,2,3
"883",2,0.4698,2,2
"884",2,0.4364,2,2
"885",2,0.2669,2,3
"886",2,0.4883,1,3
"887",2,0.6092,2,1
"888",2,0.3576,2,2
"889",2,0.3695,2,2
"890",2,0.2953,1,3
"891",2,0.3595,2,1
"892",2,0.3233,1,1
"893",2,0.389,1,1
"894",2,0.4244,2,3
"895",2,0.3993,2,1
"896",2,0.3839,2,3
"897",2,0.3243,1,2
"898",2,0.6489,1,3
"899",2,0.3278,2,3
"900",2,0.3765,2,1
"901",2,0.4178,1,1
"902",2,0.3586,1,1
"903",2,0.4048,2,3
"904",2,0.3446,2,3
"905",2,0.3176,2,2
"906",2,0.5671,2,1
"907",2,0.5295,2,3
"908",2,0.41,2,2
"909",2,0.2928,2,3
"910",2,0.3106,1,3
"911",2,0.3898,2,2
"912",2,0.4499,2,2
"913",2,0.5157,2,1
"914",2,0.3256,1,3
"915",2,0.4466,2,1
"916",2,0.3818,1,2
"917",2,0.4421,2,3
"918",2,0.4467,2,2
"919",2,0.3954,1,2
"920",2,0.3706,2,2
"921",2,0.2692,2,3
"922",2,0.4232,2,2
"923",2,0.7127,2,2
"924",2,0.3833,2,2
"925",2,0.4427,2,1
"926",2,0.4573,2,1
"927",2,0.3477,1,3
"928",2,0.4154,2,3
"929",2,0.4935,2,2
"930",2,0.4381,2,2
"931",2,0.37,2,2
"932",2,0.46,2,2
"933",2,0.4442,1,2
"934",2,0.4058,1,3
"935",2,0.6255,1,1
"936",2,0.4715,2,2
"937",2,0.5277,2,1
"938",2,0.3947,2,3
"939",2,0.4108,2,3
"940",2,0.4353,2,1
"941",2,0.3123,2,3
"942",2,0.445,2,1
"943",2,0.3425,1,3
"944",2,0.5671,2,1
"945",2,0.4183,2,3
"946",2,0.4544,1,2
"947",2,0.3001,2,3
"948",2,0.4008,2,3
"949",2,0.5554,2,1
"950",2,0.406,2,1
"951",2,0.3486,2,3
"952",2,0.3832,2,1
"953",2,0.326,2,3
"954",2,0.4569,1,1
"955",2,0.4625,2,1
"956",2,0.365,2,2
"957",2,0.4529,2,2
"958",2,0.4613,2,1
"959",2,0.2952,2,3
"960",2,0.3636,2,2
"961",2,0.3298,1,3
"962",2,0.4157,2,1
"963",2,0.337,2,3
"964",2,0.3721,1,3
"965",2,0.3312,2,3
"966",2,0.5102,2,2
"967",2,0.4857,1,3
"968",2,0.6861,2,2
"969",2,0.592,2,1
"970",2,0.4423,2,3
"971",2,0.4199,2,2
"972",2,0.3705,1,1
"973",2,0.4982,2,2
"974",2,0.472,2,2
"975",2,0.5107,2,2
"976",2,0.4144,2,3
"977",2,0.3145,2,3
"978",2,0.3414,2,2
"979",2,0.4005,2,3
"980",2,0.4307,2,2
"981",2,0.308,1,3
"982",2,0.4246,2,1
"983",2,0.3931,2,3
"984",2,0.3752,2,1
"985",2,0.4762,2,1
"986",2,0.4106,2,2
"987",2,0.3438,2,3
"988",2,0.4785,2,2
"989",2,0.6097,2,2
"990",2,0.365,2,2
"991",2,0.3874,2,3
"992",2,0.2592,2,3
"993",2,0.3996,2,2
"994",2,0.4573,2,2
"995",2,0.3922,1,3
"996",2,0.4571,2,1
"997",2,0.3295,2,3
"998",2,0.4716,2,2
"999",2,0.4759,1,3
"1000",2,0.4487,2,1
"1001",2,0.4516,2,2
"1002",2,0.5312,2,1
"1003",2,0.3636,2,3
"1004",2,0.3901,2,2
